name,population,vicmap:pfi,wikidata,wikipedia,boundary_type,area,area (ha),perimeter
Strathmore,8419,205410059,Q7622134,"en:Strathmore, Victoria",,3456354.562,345.6354562,12826.96639
Oakleigh,7893,205410192,Q7074107,"en:Oakleigh, Victoria",,3473176.161,347.3176161,9279.9349
Delahey,8339,205410183,Q5253079,"en:Delahey, Victoria",,3479032.528,347.9032528,7680.41296
Sassafras,1061,205410104,Q1735132,"en:Sassafras, Victoria",,3483349.012,348.3349012,11082.87582
Tootgarook,2869,205410193,Q7824240,"en:Tootgarook, Victoria",,3483947.258,348.3947258,8343.016925
Box Hill South,8434,205410191,Q4951543,"en:Box Hill South, Victoria",,3484604.057,348.4604057,8185.491225
Hawthorn East,14321,205410190,Q5685486,"en:Hawthorn East, Victoria",,3495101.793,349.5101793,12502.52133
Fairfield,6558,205410189,Q5430228,"en:Fairfield, Victoria",,3519674.676,351.9674676,16140.1958
Box Hill,9672,205410187,Q4951523,"en:Box Hill, Victoria",,3527589.363,352.7589363,7570.378835
Sydenham,10838,205410180,Q7659769,"en:Sydenham, Victoria",,3570301.002,357.0301002,9338.053625
Parkdale,11746,205410184,Q7138209,"en:Parkdale, Victoria",,3571493.829,357.1493829,9079.937358
South Yarra,25147,205410181,Q2304617,"en:South Yarra, Victoria",,3575253.915,357.5253915,9391.23893
Blackburn South,10793,205410178,Q4922714,"en:Blackburn South, Victoria",,3605048.457,360.5048457,8371.970594
Highett,10454,205410171,Q5758468,"en:Highett, Victoria",,3645835.102,364.5835102,9854.212894
Clarinda,,205410172,Q5126971,"en:Clarinda, Victoria",,3671856.528,367.1856528,9558.022579
Sandringham,10241,205410165,Q3472028,"en:Sandringham, Victoria",,3687966.693,368.7966693,11721.79981
Carnegie,17388,205410167,Q5043870,"en:Carnegie, Victoria",,3694384.15,369.438415,9275.64565
Airport West,6959,205410084,Q4698960,"en:Airport West, Victoria",,3713008.206,371.3008206,8155.469987
Noble Park North,7468,205410175,Q7045759,"en:Noble Park North, Victoria",,3761232.354,376.1232354,10247.51324
Belgrave,3966,205410137,Q815564,"en:Belgrave, Victoria",,3822491.517,382.2491517,10499.32624
