name,population,vicmap:pfi,wikidata,wikipedia,boundary_type,area,area (ha),perimeter
Plenty,2364,205409816,Q7204559,"en:Plenty, Victoria",,10965655.21,1096.565521,21033.86667
Springvale,21714,205409812,Q7581218,"en:Springvale, Victoria",,11053804.13,1105.380413,15912.73461
Boronia,22195,205409801,Q894057,"en:Boronia, Victoria",,11147824.03,1114.782403,23332.16597
Doncaster East,28360,205409820,Q5295495,"en:Doncaster East, Victoria",,11158138.43,1115.813843,20621.47277
Exford,107,205409824,Q5420166,"en:Exford, Victoria",,11228756.88,1122.875688,15589.56226
Preston,32851,205409793,Q1471471,"en:Preston, Victoria",,11250104.92,1125.010492,16057.03228
Portsea,446,205409803,Q7232409,"en:Portsea, Victoria",,11333950.1,1133.39501,22444.1374
Dandenong,29906,205409902,Q1159408,"en:Dandenong, Victoria",,11453332.59,1145.333259,15955.75404
Donvale,12347,205409786,Q5296927,"en:Donvale, Victoria",,11665457.81,1166.545781,22675.89381
Deanside,,425658406,Q28942242,"en:Deanside, Victoria",,11971399.99,1197.139999,13977.12404
Kallista,1437,205409768,Q6353868,"en:Kallista, Victoria",,12004470.01,1200.447001,24362.36182
Cranbourne East,16195,205409728,Q5181931,"en:Cranbourne East, Victoria",,12374724.79,1237.472479,16199.30755
Campbellfield,5056,205409758,Q5028192,"en:Campbellfield, Victoria",,12401691.68,1240.169168,18251.52859
Seaford,16463,205409752,Q7440369,"en:Seaford, Victoria",,12415673.5,1241.56735,17126.65255
Mooroolbark,21967,205409730,Q6908450,"en:Mooroolbark, Victoria",,12533803.03,1253.380303,19756.31554
Rosebud,13195,205409637,Q2104028,"en:Rosebud, Victoria",,12657292.34,1265.729234,20014.61053
Belgrave South,1645,205409749,Q4882686,"en:Belgrave South, Victoria",,12775746.74,1277.574674,19275.67368
St Albans,37309,205409734,Q474528,"en:St Albans, Victoria",,12794164.39,1279.416439,15626.79716
Mill Park,29710,205409743,Q6858372,"en:Mill Park, Victoria",,12892798.59,1289.279859,17866.44082
Cranbourne West,15035,205409778,Q5181937,"en:Cranbourne West, Victoria",,12979910.76,1297.991076,17212.50103
Bonnie Brook,,425652792,Q28942237,"en:Bonnie Brook, Victoria",,12981624.3,1298.16243,19382.83482
Harkaway,849,205409747,Q5658134,"en:Harkaway, Victoria",,12987193.65,1298.719365,21038.44618
Narre Warren South,30319,205409736,Q6966241,"en:Narre Warren South, Victoria",,13004990.85,1300.499085,17738.14329
Cranbourne,,205409735,Q3309297,"en:Cranbourne, Victoria",,13030407.16,1303.040716,17971.87299
Derrimut,8269,205409746,Q1200355,"en:Derrimut, Victoria",,13272074.01,1327.207401,17195.76784
Hampton Park,25530,205409729,Q5646261,"en:Hampton Park, Victoria",,13315443.88,1331.544388,16984.19359
Ravenhall,1157,205409934,Q7296449,"en:Ravenhall, Victoria",,13512233.65,1351.223365,14963.39532
Ferntree Gully,26428,205409709,Q5445148,"en:Ferntree Gully, Victoria",,13795254.21,1379.525421,18735.54638
Wantirna South,19271,205409720,Q7968179,"en:Wantirna South, Victoria",,14048997.84,1404.899784,22854.35989
Altona North,12152,205409706,Q443965,"en:Altona North, Victoria",,14137608.76,1413.760876,18338.48841
Narre Warren,26621,205409685,Q6966236,"en:Narre Warren, Victoria",,14149512.92,1414.951292,20384.35465
Croydon,26946,205409710,Q5189639,"en:Croydon, Victoria",,14190668.1,1419.06681,20609.08082
Frankston South,18199,205409690,Q5492271,"en:Frankston South, Victoria",,14618201.2,1461.82012,16867.87995
Rye,,205409588,Q7384943,"en:Rye, Victoria",,14687112.36,1468.711236,18772.32469
Thomastown,20331,205409684,Q7795600,"en:Thomastown, Victoria",,14699203.21,1469.920321,21414.03661
Smiths Gully,369,205409686,Q7545571,"en:Smiths Gully, Victoria",,14749665.59,1474.966559,25882.03337
Hurstbridge,3450,205409689,Q5948626,"en:Hurstbridge, Victoria",,14833304.52,1483.330452,28953.34936
Don Valley,,205409718,Q5293640,"en:Don Valley, Victoria",,15084012.88,1508.401288,25258.94814
Mount Waverley,33611,205409674,Q6924525,"en:Mount Waverley, Victoria",,15193842.86,1519.384286,15852.10256
Yarrambat,1588,205409667,Q8049534,"en:Yarrambat, Victoria",,15349846.21,1534.984621,27366.02816
HMAS Cerberus,1040,205409687,Q3124910,en:HMAS Cerberus (naval base),,15353040.75,1535.304075,29907.24623
Laverton North,73,205409669,Q6502635,"en:Laverton North, Victoria",,15366755.61,1536.675561,19579.55734
Endeavour Hills,24294,205409664,Q5375990,"en:Endeavour Hills, Victoria",,15510420.44,1551.042044,17792.49801
Yarra Junction,,205409596,Q8049502,"en:Yarra Junction, Victoria",,15694625.6,1569.46256,22061.91807
Manor Lakes,,423752265,Q28942986,"en:Manor Lakes, Victoria",,15875339.92,1587.533992,17597.80992
Templestowe,16618,205409645,Q7698810,"en:Templestowe, Victoria",,16120397.8,1612.03978,21313.62489
Eltham,18314,205409633,Q2437209,"en:Eltham, Victoria",,16554689.77,1655.468977,26735.72972
Skye,8096,205409515,Q14935287,"en:Skye, Victoria",,16558679.34,1655.867934,20255.73517
Altona,10762,205409640,Q443946,"en:Altona, Victoria",,16559295.37,1655.929537,22760.71968
Wandin North,3051,205409939,Q7967260,"en:Wandin North, Victoria",,16619381.08,1661.938108,23047.76458
Glen Waverley,40327,205409628,Q3108712,"en:Glen Waverley, Victoria",,16840380.81,1684.038081,21231.43867
Bundoora,25709,205409609,Q4997558,"en:Bundoora, Victoria",,16901577.82,1690.157782,31535.52523
Mount Evelyn,9702,205409607,Q6920694,"en:Mount Evelyn, Victoria",,16975987.68,1697.598768,21953.79471
Warrandyte,5502,205409597,Q2549639,"en:Warrandyte, Victoria",,17339201.33,1733.920133,29869.44807
Hoppers Crossing,37598,205409591,Q5901240,"en:Hoppers Crossing, Victoria",,17681371.39,1768.137139,20921.97809
Harkness,,425633658,Q28942249,,,17920327.1,1792.03271,21224.93516
Cottles Bridge,601,205409563,Q5175640,"en:Cottles Bridge, Victoria",,18454214.64,1845.421464,26609.10387
Cranbourne South,1674,205409208,Q5181935,"en:Cranbourne South, Victoria",,18533794.68,1853.379468,21191.88024
Reservoir,47637,205409547,Q7315303,"en:Reservoir, Victoria",,19102956.01,1910.295601,25491.86949
Monbulk,3577,205409489,Q6898457,"en:Monbulk, Victoria",,19228206.12,1922.820612,23942.22935
Garfield,1786,205409306,Q3098327,"en:Garfield, Victoria",,19261398.31,1926.139831,28511.94428
Frankston,36097,205409512,Q1136771,"en:Frankston, Victoria",,19740740.65,1974.074065,19954.78508
Diamond Creek,11733,205409582,Q5270756,"en:Diamond Creek, Victoria",,19800948.62,1980.094862,27278.13755
Melton,8069,205409487,Q6813776,"en:Melton, Victoria (suburb)",,20234554.72,2023.455472,26140.57932
Carrum Downs,20711,205409494,Q1045308,"en:Carrum Downs, Victoria",,20329817.04,2032.981704,23085.42171
Silvan,1246,205409183,Q7515664,"en:Silvan, Victoria",,20420532.64,2042.053264,28735.57599
Strathewen,,205409485,Q7622103,"en:Strathewen, Victoria",,20464581.54,2046.458154,28179.99512
South Morang,24060,205409471,Q7567979,"en:South Morang, Victoria",,21064428.72,2106.442872,29156.93995
Mornington,23989,205409453,Q6913013,"en:Mornington, Victoria",,21098576.37,2109.857637,21618.27226
Garfield North,,205409460,Q5523089,"en:Garfield North, Victoria",,21130971.82,2113.097182,26555.33807
Narre Warren North,7674,205409458,Q6966240,"en:Narre Warren North, Victoria",,21215687.5,2121.56875,21301.92672
Fingal,529,205409567,Q5450178,"en:Fingal, Victoria",,21323695.23,2132.369523,25393.59023
Seville,2378,205409452,Q7458058,"en:Seville, Victoria",,21380902.7,2138.09027,27115.99726
Keysborough,25785,205409442,Q6398390,"en:Keysborough, Victoria",,21651331.85,2165.133185,20568.39097
Rowville,33672,205409438,Q7372303,"en:Rowville, Victoria",,21743907.83,2174.390783,25148.66379
Chirnside Park,9872,205409445,Q5101947,"en:Chirnside Park, Victoria",,22209301.69,2220.930169,23211.23158
Mernda,16458,205409426,Q6819892,en:Mernda,,22444387.51,2244.438751,25045.80245
Chum Creek,983,205409419,Q2746797,"en:Chum Creek, Victoria",,22499015.42,2249.901542,25287.65181
Woori Yallock,2913,205409287,Q8034033,en:Woori Yallock,,22802586.1,2280.25861,38054.50606
Panton Hill,1062,205409468,Q7131895,"en:Panton Hill, Victoria",,22838842.34,2283.884234,29967.74663
Devon Meadows,1548,205409399,Q5267742,"en:Devon Meadows, Victoria",,22851169.76,2285.116976,21590.04821
Cora Lynn,243,205409403,Q5169404,"en:Cora Lynn, Victoria",,23180929.15,2318.092915,23804.88801
Wonga Park,3796,205409407,Q8032045,"en:Wonga Park, Victoria",,23205023.53,2320.502353,33402.05598
Mount Eliza,17248,205409400,Q6920590,"en:Mount Eliza, Victoria",,23216762.98,2321.676298,20844.11232
Red Hill,,205409397,Q7304262,"en:Red Hill, Victoria",,23234002.03,2323.400203,25287.13923
Bangholme,784,205409391,Q4855159,"en:Bangholme, Victoria",,23656867.74,2365.686774,20382.3588
Bayles,461,205409387,Q4874561,"en:Bayles, Victoria",,23716805.06,2371.680506,26024.11049
Gladysdale,,205409381,Q5566476,"en:Gladysdale, Victoria",,23961087.06,2396.108706,24036.86017
Donnybrook,169,205409361,Q5296762,"en:Donnybrook, Victoria",,24517080.3,2451.70803,24738.22734
Pakenham South,,205409415,Q21903695,,,24880281.54,2488.028154,23067.68426
Merricks North,426,205409342,Q6820098,"en:Merricks North, Victoria",,25235998.6,2523.59986,23877.95638
Tyabb,3338,205409380,Q3542647,"en:Tyabb, Victoria",,25524383.43,2552.438343,28343.1011
Hastings,9609,205409304,Q3128258,"en:Hastings, Victoria",,25926953.01,2592.695301,31372.91782
Tooradin,1568,205409279,Q7824200,"en:Tooradin, Victoria",,26699172.33,2669.917233,27597.8582
Wyndham Vale,23273,205408838,Q8040132,en:Wyndham Vale,,26754540.62,2675.454062,36049.5584
Officer,7133,205409202,Q7079440,"en:Officer, Victoria",,28006852.43,2800.685243,28665.46233
Cockatoo,4256,205409246,Q2981283,"en:Cockatoo, Victoria",,28210762.48,2821.076248,34374.04455
Beaconsfield Upper,2861,205409240,Q4876041,"en:Beaconsfield Upper, Victoria",,28308996.23,2830.899623,33278.31306
Tynong,456,205409456,Q7860565,"en:Tynong, Victoria",,28485703.66,2848.570366,24379.31472
Eden Park,1204,205409373,Q5336895,"en:Eden Park, Victoria",,28536521.82,2853.652182,29817.59726
Main Ridge,416,205409284,Q6736047,"en:Main Ridge, Victoria",,28751786.59,2875.178659,27925.15153
Langwarrin,21371,205409232,Q1805451,"en:Langwarrin, Victoria",,28806452.33,2880.645233,23744.66063
Macclesfield,851,205409223,Q6722913,"en:Macclesfield, Victoria",,28882289.3,2888.22893,29108.02515
Lilydale,16531,205409221,Q6548615,"en:Lilydale, Victoria",,29155875.55,2915.587555,28668.00952
Clyde North,8156,205409219,Q5136991,"en:Clyde North, Victoria",,29180560.17,2918.056017,25113.5342
Dandenong South,160,205409392,Q14935085,"en:Dandenong South, Victoria",,29385872.47,2938.587247,24294.70498
Plumpton,4324,205408556,Q7205463,"en:Plumpton, Victoria",,29455592.48,2945.559248,29733.4438
Mount Martha,18548,205409177,Q6922032,"en:Mount Martha, Victoria",,30212770.73,3021.277073,24521.82608
Dromana,5803,205409172,Q5308257,"en:Dromana, Victoria",,30248533.29,3024.853329,32026.53366
Oaklands Junction,433,205409045,Q7074083,"en:Oaklands Junction, Victoria",,30307299.58,3030.729958,36369.53028
Steels Creek,225,205409175,Q7605841,"en:Steels Creek, Victoria",,30348639.56,3034.863956,28361.32565
Melbourne Airport,104,205409285,Q14935213,"en:Melbourne Airport, Victoria",,30380918.53,3038.091853,34274.94683
Greenvale,11969,205409173,Q5604620,"en:Greenvale, Victoria",,30557674.15,3055.767415,28130.99526
Woodstock,150,205409154,Q8033396,"en:Woodstock, Victoria",,31260699.99,3126.069999,27184.37722
Somerville,,205408956,Q7559958,,,31353406.5,3135.34065,40815.31381
Kangaroo Ground,1095,205409125,Q1723723,"en:Kangaroo Ground, Victoria",,31401811.74,3140.181174,32220.77319
Lysterfield,6663,205409160,Q6710291,"en:Lysterfield, Victoria",,31784923.77,3178.492377,26568.93619
Pakenham Upper,,205409135,Q21903696,,,32032254.69,3203.225469,39026.66155
Doreen,21298,205409126,Q5297649,"en:Doreen, Victoria",,32233558.46,3223.355846,31497.98537
Bunyip,2468,205409371,Q4997975,"en:Bunyip, Victoria",,33166440.12,3316.644012,27672.40926
Epping,32395,205409090,Q5383865,"en:Epping, Victoria",,33696025.18,3369.602518,28234.44212
Berwick,47674,205409098,Q829245,"en:Berwick, Victoria",,33960747.52,3396.074752,35334.09719
Catani,294,205409110,Q12054395,"en:Catani, Victoria",,34204413.52,3420.441352,32893.39656
Yan Yean,252,205409128,Q8048187,"en:Yan Yean, Victoria",,34845755.24,3484.575524,28135.72894
Mambourin,4,205409057,Q6745551,"en:Mambourin, Victoria",,34913365.98,3491.336598,24753.66327
Bulla,651,205409055,Q4996655,"en:Bulla, Victoria",,35053016.89,3505.301689,45288.59189
Yarra Glen,2869,205409054,Q2453315,"en:Yarra Glen, Victoria",,35182387.64,3518.238764,37506.41995
Craigieburn,50347,205409046,Q5181698,"en:Craigieburn, Victoria",,35426112.49,3542.611249,36163.22043
Yannathan,238,205409021,Q14935326,"en:Yannathan, Victoria",,36217915.3,3621.79153,43079.77719
Olinda,1738,205409581,Q7086922,"en:Olinda, Victoria",,36650060.39,3665.006039,42551.41066
Werribee South,1768,205409004,Q7983581,"en:Werribee South, Victoria",,36865585.38,3686.558538,29453.85396
Tarneit,34562,205408965,Q7686407,"en:Tarneit, Victoria",,38200148.65,3820.014865,34466.98495
Launching Place,2394,205409044,Q14935191,"en:Launching Place, Victoria",,38384292.18,3838.429218,40319.79916
Point Cook,49929,205408993,Q7207994,"en:Point Cook, Victoria",,38707612.39,3870.761239,33284.39215
Tuerong,341,205408940,Q7851406,"en:Tuerong, Victoria",,38957552.55,3895.755255,28289.69581
Pearcedale,3821,205409095,Q7157991,"en:Pearcedale, Victoria",,39055325.05,3905.532505,33252.56919
Arthurs Creek,496,205409018,Q2611900,"en:Arthurs Creek, Victoria",,39166746.48,3916.674648,38571.45584
St Andrews,1226,205408917,Q7592430,"en:St Andrews, Victoria",,39778885.43,3977.888543,48022.33879
Clyde,2117,205408906,Q5136840,"en:Clyde, Victoria",,40242281.31,4024.228131,26671.72091
Iona,228,205409359,Q14935167,"en:Iona, Victoria",,41736627.56,4173.662756,32965.79408
Nar Nar Goon North,727,205408865,Q6965215,"en:Nar Nar Goon North, Victoria",,42032540,4203.254,38889.3486
Yellingbo,534,205408822,Q8051580,"en:Yellingbo, Victoria",,42414967.3,4241.49673,44367.40023
Werribee,40345,205408799,Q2563357,"en:Werribee, Victoria",,42888500.62,4288.850062,38889.7699
Moorooduc,1098,205408836,Q14935231,"en:Moorooduc, Victoria",,42895613.08,4289.561308,27979.66032
Heath Hill,161,205409261,Q5693473,"en:Heath Hill, Victoria",,43550681.77,4355.068177,41450.25935
Red Hill South,603,205409673,Q7304283,"en:Red Hill South, Victoria",,44556123.61,4455.612361,40437.99306
Balnarring,2270,205409301,Q944965,"en:Balnarring, Victoria",,44825686.12,4482.568612,36989.18252
Humevale,307,205409031,Q5940728,"en:Humevale, Victoria",,45275864.85,4527.586485,34079.67328
Badger Creek,1563,205409806,Q4840842,"en:Badger Creek, Victoria",,45880305.11,4588.030511,44585.85695
Cardinia,376,205409286,Q5038689,"en:Cardinia, Victoria",,47014325.05,4701.432505,36189.74896
Tynong North,434,205408734,Q2699171,"en:Tynong North, Victoria",,48354966.57,4835.496657,38607.11504
Christmas Hills,355,205408716,Q5111364,"en:Christmas Hills, Victoria",,49755617.48,4975.561748,51636.67973
Emerald,5778,205408694,Q5370390,"en:Emerald, Victoria",,49967275.98,4996.727598,45155.40363
Dixons Creek,334,205408805,Q2549869,"en:Dixons Creek, Victoria",,52849797.31,5284.979731,42568.75462
Warburton,2012,205407853,Q914214,"en:Warburton, Victoria",,54207655.82,5420.765582,45658.8777
Wollert,9060,205408619,Q8030341,"en:Wollert, Victoria",,54306637.64,5430.663764,35241.41009
Mickleham,3142,205408611,Q6838860,"en:Mickleham, Victoria",,54583810.25,5458.381025,42590.58273
Gruyere,946,205408609,Q5612378,"en:Gruyere, Victoria",,54764559.03,5476.455903,39566.76677
Tonimbuk,208,205408951,Q914281,"en:Tonimbuk, Victoria",,55134938.85,5513.493885,47028.75824
Flinders,905,205408585,Q5459405,"en:Flinders, Victoria",,55151427.24,5515.142724,45666.00759
Quandong,0,205408578,Q7268844,"en:Quandong, Victoria",,57259185.61,5725.918561,33394.82185
Nar Nar Goon,1012,205408666,Q3336011,"en:Nar Nar Goon, Victoria",,57316276.22,5731.627622,38864.06982
Mount Cottrell,569,205408326,Q6920269,"en:Mount Cottrell, Victoria",,58314268.95,5831.426895,38926.8929
Caldermeade,183,205408876,Q5019060,"en:Caldermeade, Victoria",,60392160.66,6039.216066,42380.33631
Hoddles Creek,,205408808,Q2087588,"en:Hoddles Creek, Victoria",,60544913.4,6054.49134,50355.58738
Wildwood,216,205408884,Q14935321,"en:Wildwood, Victoria",,60833657.26,6083.365726,59363.23041
Eynesbury,2577,205408523,Q5422947,"en:Eynesbury, Victoria",,60927758.97,6092.775897,37921.67804
Boneo,,205409092,Q4941726,"en:Boneo, Victoria",,60963467.83,6096.346783,55352.05855
Lang Lang,1585,205408105,Q1804848,"en:Lang Lang, Victoria",,61842757.24,6184.275724,45731.84435
Truganina,20687,205408583,Q7847627,"en:Truganina, Victoria",,64561600.71,6456.160071,46586.42098
Cocoroc,0,205408458,Q5139889,"en:Cocoroc, Victoria",,64861651.81,6486.165181,38361.08203
Kinglake West,1166,205408456,Q6412782,"en:Kinglake West, Victoria",,65344440.33,6534.444033,59423.83161
Diggers Rest,2763,205408379,Q5275644,"en:Diggers Rest, Victoria",,69692810.74,6969.281074,47252.68127
Koo Wee Rup,3579,205408571,Q1783750,en:Koo Wee Rup,,77669767.99,7766.976799,55523.32454
Parwan,170,205408264,Q7141385,"en:Parwan, Victoria",,78448425.54,7844.842554,41438.59005
Coldstream,2164,205408596,Q5142560,"en:Coldstream, Victoria",,80217687,8021.7687,71410.87148
McMahons Creek,125,205407698,Q6802287,"en:McMahons Creek, Victoria",,854750157.6,8547.501576,168284.82
East Warburton,864,205407696,Q7968866,"en:East Warburton, Victoria",,85743794.22,8574.379422,48324.22658
Pakenham,46421,205408179,Q2046587,"en:Pakenham, Victoria",,86474747.14,8647.474714,52676.62006
Toolern Vale,724,205408080,Q7824073,en:Toolern Vale,,95077528.53,9507.752853,47493.40404
Whittlesea,5611,205408013,Q7996927,"en:Whittlesea, Victoria",,96758601.2,9675.86012,58834.92955
Three Bridges,199,205409050,Q7797348,"en:Three Bridges, Victoria",,99757238.4,9975.72384,68818.15574
Beveridge,2330,205407968,Q2143313,"en:Beveridge, Victoria",,111728600.7,11172.86007,52301.89322
Kinglake,1536,205407963,Q968998,"en:Kinglake, Victoria",,112085387.6,11208.53876,100344.8376
Sunbury,36084,205407856,Q1007711,"en:Sunbury, Victoria",,132197529.1,13219.75291,62808.38925
Little River,1322,205407673,Q6651574,"en:Little River, Victoria",,181218712.7,18121.87127,70253.58391
Healesville,7461,205407805,Q1015813,"en:Healesville, Victoria",,182883396.2,18288.33962,115166.1785
Gembrook,2350,205407628,Q5530582,"en:Gembrook, Victoria",,215533855.3,21553.38553,117108.1471
Wesburn,1019,205408895,Q7983785,"en:Wesburn, Victoria",,266404369.1,26640.43691,119457.7923
